,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other
192711,44.43,11.26,99.56,25.37,19.78,22.05,8.31,39.62,99.32,9.33,23.26,62.3,36.47,125.85,84.01,51.64,40.02,43.59,96,111.96,452.37,18.27,80.43,38.37,80.22,1.6,57.11,14.22,27.09,20.92
192712,47.58,12.42,105.83,26.22,23.07,22.5,8.44,40.86,107.31,9.77,24.52,69.68,40.44,140.17,88.01,55.82,43.31,46.85,99.27,118.67,465.15,18.66,87.17,44.66,83.03,1.58,63.8,14.6,29.2,23.01
192801,49.48,14,105.96,26.53,23.47,24.69,8.39,40.55,106.75,9.97,24.22,73.39,41.43,140.73,94.58,57,48.64,45.23,99.48,120.98,465.55,17.13,88.12,45.12,82.57,1.76,63.31,14.24,32.27,23.26
192802,50.67,13.99,103.22,26.43,24.69,25.55,8.96,41.46,105.38,9.85,24.65,71.45,40.87,139.31,91.46,59.06,47.73,42.93,97.75,127.73,466.92,17.15,89.05,45.62,81.29,1.74,62.64,13.99,32.73,22.46
192803,49.14,13.25,96.42,26.15,24.25,25.4,8.7,34.35,106.14,9.34,25.01,69.01,40.8,137.27,91.7,56.32,43.91,42.36,97.06,131.36,465.52,17.03,90.04,45.84,79.88,1.6,61.75,13.58,31.74,21.66
192804,51.25,15.17,98.15,28.16,25.38,27.83,9.01,37.75,119.39,10.03,26.4,72.91,43.28,172.17,117.08,59.69,46.69,44.51,101.94,139.7,468.84,16.55,92.77,50.91,84.12,1.73,66.99,13.96,34.66,23.57
192805,52.53,15.81,92.29,29.68,30.76,28.8,9.88,38.56,118.86,9.59,27.15,73.8,44.74,176.32,118.22,60.72,46.32,45.03,118.45,154.57,592,16.87,94.25,50.61,87.65,1.62,66.7,14,37.84,26.16
192806,53.33,16.68,91.82,30.19,36.2,28.04,9.75,41.86,122.38,9.01,27.01,77.49,46.67,179.42,123.72,59.71,46.85,45.25,111.11,156.5,631.15,16.94,97.11,53.53,86.96,1.75,70.88,15.93,38.57,25.7
192807,51.01,15.93,83.45,31.15,29.33,24.93,9,62.28,117.98,9.35,37.85,72.27,44.73,164.66,115.31,53.49,45.07,36.75,107.63,154.49,644.26,15.98,100.23,42.6,87.91,3.95,65.87,15.51,44.54,22.63
192808,51.47,15.94,86.22,31.6,29.61,25.07,9.03,63.68,119.91,8.98,38.53,74.06,44.85,162.95,119.23,52.4,44.4,36.1,108.83,152.09,636.03,15.08,105.58,44.32,87.36,3.95,69.52,15.39,44.67,22.45
192809,55.38,17.91,89.1,34.53,31.53,27.43,9.01,72.5,130.17,9.14,40.03,80.66,48.05,182.99,129.47,55.49,47.67,36.76,110.92,161.4,664.99,17.36,107.93,49.79,90.48,4.11,78.83,17.24,46.93,25.11
192810,56.1,17.91,88.25,38.04,30.67,30.1,8.87,71.51,134.72,9.44,41.98,84.93,49.72,182.33,139.92,54.93,48.79,36.31,116.99,167.22,657.74,17.27,109.7,48.92,90.53,4.15,78.87,17.15,44.27,24.09
192811,55.7,18.53,91.25,37.58,32.34,32.52,8.54,71.46,141.55,9.99,44.41,90.27,50.73,186.12,139.71,53.97,50.39,35.41,119.55,163.61,677.23,18.09,110.8,46.12,89.1,4.87,83.57,16.75,45.42,22.83
192812,59.87,19.59,97.06,41.42,32.67,37.88,8.72,74.61,157.94,10.87,48.35,103.07,58.53,229.86,144.56,59.37,57.74,37.65,140.05,199.02,722.45,21.27,119.08,48.31,96.94,5.45,96.29,18.3,49.89,23.45
